Configuration Name,$DESCRIPTION,$COLOR,$VALUE@string_count@Equations,$VALUE@overall_height_in@Equations,$VALUE@body_width_in@Equations,$VALUE@body_height_in@Equations,$VALUE@bowl_depth_in@Equations,$VALUE@yoke_clear_span_in@Equations,$VALUE@string_spacing_in@Equations,$VALUE@speaking_len_mid_in@Equations,$VALUE@bridge_height_in@Equations,$VALUE@body_scale_factor@Equations,$VALUE@arm_joinery_code@Equations,$VALUE@yoke_joinery_code@Equations,$VALUE@shell_build_code@Equations,$VALUE@thigh_saddle_enabled@Equations,$VALUE@left_hand_relief_enabled@Equations,$VALUE@pickup_ready_enabled@Equations,$VALUE@strap_enabled@Equations
LYR-07-HERMES,Historical 7-string reference,15000804,=7,=27.56in,=11.22in,=15.75in,=4.33in,=8.27in,=0.591in,=20.98in,=0.787in,=0.950,=1,=1,=1,=0,=0,=0,=0
LYR-13-MULE,Prototype mule,15000804,=13,=28.94in,=12.40in,=16.93in,=4.72in,=10.04in,=0.551in,=21.50in,=0.866in,=1.000,=2,=2,=2,=1,=1,=0,=0
LYR-13-WANDERER,Main 13-string build,15000804,=13,=28.94in,=12.40in,=16.93in,=4.72in,=10.04in,=0.551in,=21.50in,=0.866in,=1.000,=1,=3,=1,=0,=0,=0,=0
LYR-13-WANDERER-ERG,Ergonomic performance variant,15000804,=13,=29.13in,=12.60in,=17.01in,=4.80in,=10.04in,=0.551in,=21.50in,=0.866in,=1.020,=3,=3,=2,=1,=1,=1,=1
